occ.bio1,occ.bio6,occ.bio11,co.mean.elev,co.max.elev,co.min.elev,pam.bio1,pam.bio5,pam.bio6,pam.bio10,pam.bio11,binom,CO.sample.size,co.elev.breadth,co.mid.elev
54.75,-128,-42.5,2595.75,4082,1597,56.94444444,274.4337607,-125.5299145,165.7371795,-48.48717949,Pardosa altamontis,4,2485,2839.5
36.88888889,-156.3333333,-67.11111111,2510.444444,3353,1524,44.40972222,255.3229167,-152.6180556,150.9791667,-61.73611111,Pardosa bucklei,9,1829,2438.5
26.6036036,-152.2342342,-69.48648649,2608.4,3353,1630,53.88628472,268.9861111,-134.0946181,163.3211806,-52.29513889,Pardosa coloradensis,110,1723,2491.5
12.86440678,-160.7711864,-80.81355932,3001.267241,4023,1553,54.67391304,266.8417874,-135.5519324,163.7596618,-52.09299517,Pardosa concinna,116,2470,2788
10,-168,-87.5,2943.769231,3393,1548,24.23888889,231.8333333,-167.1111111,127.9388889,-77.01111111,Pardosa confusa,13,1845,2470.5
38.31864407,-146.1322034,-59.58305085,2435.435374,3522,1123,63.17937853,275.990113,-131.3757062,176.1078154,-50.25094162,Pardosa distincta,294,2399,2322.5
12.11111111,-162.0740741,-82.14814815,2737.296296,3432,2361,54.53921569,262.1094771,-125.9901961,157.8202614,-45.73202614,Pardosa dorsalis,27,1071,2896.5
27.07894737,-146.7105263,-64.5,2628.236842,3137,1662,47.8117284,249.566358,-125.9058642,150.2916667,-51.83487654,Pardosa dorsuncata,38,1475,2399.5
99.3,-106.7,-10.9,1726.2,2743,1507,139.0393519,322.4421296,-45.8587963,232.1388889,43.63657407,Pardosa falcifera,10,1236,2125
22.33870968,-155.5483871,-73.87096774,2767.754098,3760,1545,47.37345679,256.6134627,-140.4689888,156.4238683,-60.76058201,Pardosa fuscula,61,2215,2652.5
21.9537037,-154.7037037,-74.87037037,2979.495327,4338,1120,50.97619048,263.4172336,-131.6048753,158.8168934,-54.1893424,Pardosa groenlandica,107,3218,2729
82.87234043,-110.9148936,-22.21276596,1754.425532,3658,1394,98.36164521,292.6480097,-81.30370733,201.0148518,-3.997254572,Pardosa lapidicina,47,2264,2526
25.57399103,-150.3766816,-67.82511211,2727.18552,3792,1541,46.73493101,243.0978577,-127.93458,147.546841,-52.54726458,Pardosa mackenziana,221,2251,2666.5
82.09090909,-106.7272727,-20.54545455,1706.727273,2992,1516,110.8134921,307.7599206,-73.10714286,214.3809524,7.734126984,Pardosa mercurialis,11,1476,2254
62.85,-120.2666667,-36.63333333,2208.4,3871,1468,59.68326453,269.7896457,-136.6087891,176.125043,-58.73821809,Pardosa modica,60,2403,2669.5
46.21428571,-138.6071429,-53.76785714,2253.160714,3737,1318,64.09015763,263.2405256,-122.6864942,177.2103998,-53.52551217,Pardosa moesta,56,2419,2527.5
30.76190476,-158.1428571,-69,2620.095238,3029,1869,79.58641975,280.5740741,-106.5925926,180.8919753,-18.9691358,Pardosa montgomeryi,21,1160,2449
8.6,-180.6,-93.06666667,2883.8,3243,2469,41.26041667,250.625,-138.4340278,146.4826389,-59.03819444,Pardosa mulaiki,15,774,2856
62.45454545,-132.3636364,-40.40909091,2164.272727,2578,1756,90.83823529,289.1584967,-94.83660131,189.8921569,-6.308823529,Pardosa orophila,22,822,2167
15.98795181,-156.2771084,-78.78313253,3119.125,4267,1510,47.23148148,257.6712963,-141.8310185,154.5115741,-55.50694444,Pardosa ourayensis,80,2757,2888.5
83.52941176,-106.9411765,-21.29411765,1754.647059,2125,1396,108.9954078,298.66084,-54.03928751,199.993491,23.37140433,Pardosa sierra,17,729,1760.5
0.8,-175.4,-94.8,3314.6,4115,2263,12.96428571,203.6349206,-155.9563492,111.9246032,-84.25396825,Pardosa sinistra,5,1852,3189
78.58653846,-116.4711538,-27.74759615,1805.8125,3549,1055,79.08490566,287.8459119,-106.8537736,184.7316562,-23.45440252,Pardosa sternalis,416,2494,2302
77.51351351,-113.6756757,-26.45945946,1782.864865,2660,1433,81.67655724,284.6416246,-101.2172769,183.2059133,-17.08512205,Pardosa steva,37,1227,2046.5
21.76923077,-165.2307692,-76.92307692,2623.538462,3170,2245,32.16666667,250.5151515,-157.1161616,148.2525253,-77.75,Pardosa tesquorum,13,925,2707.5
7.787878788,-159.9545455,-83.71212121,3228.738462,3510,2562,34.57575758,244.2676768,-150.1262626,140.3005051,-67.4520202,Pardosa uintana,65,948,3036
14.125,-161.0833333,-80.29166667,2930.166667,3658,2140,45.02136752,247.9764957,-130.9273504,146.2628205,-51.82264957,Pardosa uncata,24,1518,2899
25.65714286,-159.6285714,-74.02857143,2561.185714,3261,1804,44.89930556,260.2974537,-141.5474537,152.7835648,-60.03472222,Pardosa utahensis,70,1457,2532.5
81.9,-109.6,-26.5,1756.7,2873,1374,130.4861111,313.5694444,-45.39087302,220.2162698,38.56349206,Pardosa vadosa,10,1499,2123.5
68.625,-116.5,-27.75,1968.75,2298,1629,86.86944444,284.6944444,-97.57777778,183.2888889,-6.280555556,Pardosa valens,8,669,1963.5
9.625,-171,-89.125,2768.875,3261,1978,40.79700855,255.5277778,-138.7628205,148.6388889,-62.27350427,Pardosa wasatchensis,8,1283,2619.5
49.58730159,-137.0634921,-49.52380952,2236.666667,3029,1219,61.53415033,267.7949346,-118.3352397,166.0868192,-39.83660131,Pardosa wyuta,63,1810,2124
67.35955056,-115.2921348,-30.08988764,1930.292135,2880,1415,57.36793541,268.9878412,-129.6980488,167.9162822,-52.4672722,Pardosa xerampelina,89,1465,2147.5
39.13636364,-143.8181818,-57.15151515,2427.704545,2996,1629,80.22318008,285.1312261,-107.2183908,183.045977,-19.48563218,Pardosa yavapa,132,1367,2312.5